species,study.id,preferred,type,genus,family,order,trophic.group,diet,diet.reference,latitude,longitude,study.location,sample.period,temperature.c,age.class,bodylength.metric,bodylength.mean.mm,bodylength.min.mm,bodylength.max.mm,bodylength.sd.mm,bodylength.n,ln.bodylength,gutlength.mean.mm,ln.gutlength.mean,gutlength.sd,relativelength.min,relativelength.max,relativelength.mean,relativelength.sd,relativelength.n,ln.relativelength,reference,notes,,
Aplodactylus_punctatus,34,Y,entire gut,Aplodactylus,Aplodactylidae,Perciformes,herbivore,macroalgae,same,-33.5,-71.6,Chile,1988 to 1989,14.9,,total,338,230,430,56,32,5.823045895,1149.2,7.046821327,,1.6,6.1,3.4,1.2,32,1.223775432,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Not specific about habitat but consumes kelp and FishBase says associated with kelp.,,
Chaetodon_auriga,3,Y,intestine,Chaetodon,Chaetodontidae,Perciformes,carnivore,invertebrates,"Nagelkerken, I., Velde, G. V. D., Wartenbergh, S. L. J., Nugues, M. M., & Pratchett, M. S. (2009). Cryptic dietary components reduce dietary overlap among sympatric butterflyfishes (Chaetodontidae). Journal of Fish Biology, 75(6), 1123–1143. https://doi.org/10.1111/j.1095-8649.2009.02303.x",-5,151,Papua New Guinea,February to April 2007,29.8,adult,total,162.75,141,178,15.90335394,4,5.092215281,964.0726478,6.871166653,,4.529411765,8.913580247,5.923641461,2.060241162,4,1.778951371,"Berumen, M.L., Pratchett, M.S. & Goodman, B.A. (2011). Relative gut lengths of coral reef butterflyfishes (Pisces: Chaetodontidae). Coral Reefs, 30: 1005.",Contacted author for raw body size data.,,
Chaetodon_citrinellus,3,Y,intestine,Chaetodon,Chaetodontidae,Perciformes,omnivore,omnivore,"Letourneur, Y., Lison de Loma, T., Richard, P., Harmelin-Vivien, M. L., Cresson, P., Banaru, D., Fontaine, M.-F., Gref, T., & Planes, S. (2013). Identifying carbon sources and trophic position of coral reef fishes using diet and stable isotope (?15N and ?13C) analyses in two contrasted bays in Moorea, French Polynesia. Coral Reefs, 32(4), 1091–1102. https://doi.org/10.1007/s00338-013-1073-6",-5,151,Papua New Guinea,February to April 2007,29.8,adult,total,91.6,87,96,3.361547263,5,4.517431272,410.7076114,6.017881554,,4.161290323,4.850574713,4.483707548,0.272847203,5,1.500450282,"Berumen, M.L., Pratchett, M.S. & Goodman, B.A. (2011). Relative gut lengths of coral reef butterflyfishes (Pisces: Chaetodontidae). Coral Reefs, 30: 1005.",Contacted author for raw body size data.,,
Chaetodon_kleinii,3,Y,intestine,Chaetodon,Chaetodontidae,Perciformes,omnivore,omnivore,"Nagelkerken, I., Velde, G. V. D., Wartenbergh, S. L. J., Nugues, M. M., & Pratchett, M. S. (2009). Cryptic dietary components reduce dietary overlap among sympatric butterflyfishes (Chaetodontidae). Journal of Fish Biology, 75(6), 1123–1143. https://doi.org/10.1111/j.1095-8649.2009.02303.x",-5,151,Papua New Guinea,February to April 2007,29.8,adult,total,75.5,70,85,6.658328118,4,4.324132656,369.356962,5.911763553,,3.305882353,6,4.892145192,1.164802157,4,1.587630897,"Berumen, M.L., Pratchett, M.S. & Goodman, B.A. (2011). Relative gut lengths of coral reef butterflyfishes (Pisces: Chaetodontidae). Coral Reefs, 30: 1005.",Contacted author for raw body size data.,,
Chaetodon_vagabundus,3,Y,intestine,Chaetodon,Chaetodontidae,Perciformes,carnivore,invertebrates,"Nagelkerken, I., Velde, G. V. D., Wartenbergh, S. L. J., Nugues, M. M., & Pratchett, M. S. (2009). Cryptic dietary components reduce dietary overlap among sympatric butterflyfishes (Chaetodontidae). Journal of Fish Biology, 75(6), 1123–1143. https://doi.org/10.1111/j.1095-8649.2009.02303.x",-5,151,Papua New Guinea,February to April 2007,29.8,adult,total,113.7142857,91,131,16.12156202,7,4.733689037,502.414191,6.219424861,,3.59375,5.285714286,4.418215248,0.53258179,7,1.485735824,"Berumen, M.L., Pratchett, M.S. & Goodman, B.A. (2011). Relative gut lengths of coral reef butterflyfishes (Pisces: Chaetodontidae). Coral Reefs, 30: 1005.",Contacted author for raw body size data.,,
Forcipiger_flavissimus,3,Y,intestine,Forcipiger,Chaetodontidae,Perciformes,carnivore,invertebrates,"Ferry-Graham, L. A., Wainwright, P. C., & Bellwood, D. R. (2001). Prey capture in long-jawed butterflyfishes (Chaetodontidae): The functional basis of novel feeding habits. Journal of Experimental Marine Biology and Ecology, 256(2), 167–184. https://doi.org/10.1016/S0022-0981(00)00312-9",-5,151,Papua New Guinea,February to April 2007,29.8,adult,total,135.75,130,141,4.5,4,4.910814959,224.4159254,5.41350114,,1.14893617,1.926470588,1.653155988,0.352330136,4,0.502686181,"Berumen, M.L., Pratchett, M.S. & Goodman, B.A. (2011). Relative gut lengths of coral reef butterflyfishes (Pisces: Chaetodontidae). Coral Reefs, 30: 1005.",Contacted author for raw body size data.,,
Forcipiger_longirostris,3,Y,intestine,Forcipiger,Chaetodontidae,Perciformes,carnivore,invertebrates,"Ferry-Graham, L. A., Wainwright, P. C., & Bellwood, D. R. (2001). Prey capture in long-jawed butterflyfishes (Chaetodontidae): The functional basis of novel feeding habits. Journal of Experimental Marine Biology and Ecology, 256(2), 167–184. https://doi.org/10.1016/S0022-0981(00)00312-9",-5,151,Papua New Guinea,February to April 2007,29.8,adult,total,145.8333333,135,162,12.15593134,6,4.982464417,219.2881932,5.390386815,,1.34375,1.642335766,1.503690468,0.100113473,6,0.407922398,"Berumen, M.L., Pratchett, M.S. & Goodman, B.A. (2011). Relative gut lengths of coral reef butterflyfishes (Pisces: Chaetodontidae). Coral Reefs, 30: 1005.",Contacted author for raw body size data.,,
Hemitaurichthys_polylepis,3,Y,intestine,Hemitaurichthys,Chaetodontidae,Perciformes,carnivore,zooplankton,same,-5,151,Papua New Guinea,February to April 2007,29.8,adult,total,85.75,83,88,2.061552813,4,4.451436086,198.4957066,5.290767471,,1.879518072,2.872093023,2.314818736,0.416886738,4,0.839331384,"Berumen, M.L., Pratchett, M.S. & Goodman, B.A. (2011). Relative gut lengths of coral reef butterflyfishes (Pisces: Chaetodontidae). Coral Reefs, 30: 1005.",Contacted author for raw body size data.,,
Heniochus_varius,3,Y,intestine,Heniochus,Chaetodontidae,Perciformes,carnivore,invertebrates,"Nagelkerken, I., Velde, G. V. D., Wartenbergh, S. L. J., Nugues, M. M., & Pratchett, M. S. (2009). Cryptic dietary components reduce dietary overlap among sympatric butterflyfishes (Chaetodontidae). Journal of Fish Biology, 75(6), 1123–1143. https://doi.org/10.1111/j.1095-8649.2009.02303.x",-5,151,Papua New Guinea,February to April 2007,29.8,adult,total,119.25,81,143,26.66302058,4,4.78122213,533.877768,6.280166914,,3.251968504,5.325396825,4.476962415,0.898945138,4,1.498944784,"Berumen, M.L., Pratchett, M.S. & Goodman, B.A. (2011). Relative gut lengths of coral reef butterflyfishes (Pisces: Chaetodontidae). Coral Reefs, 30: 1005.",Contacted author for raw body size data.,,
Yongeichthys_criniger,35,Y,entire gut,Yongeichthys,Gobiidae,Gobiiformes,carnivore,invertebrates,same,-19.2,146.7,Australia,March to September 1971,24.7,,total,73.271618,44.3335,113.3694,15.9767481,100,4.294173331,38.83395754,3.659295058,,0.27,0.79,0.53,,,-0.634878272,"Beumer, J. P. (1978). Feeding ecology of four fishes from a mangrove creek in north Queensland, Australia. Journal of Fish Biology, 12(5), 475–490.","Only reported range for relative gut length, took midpoint.  Took length data from gape-body length graphs.",Updated to accepted name.,
Acanthopagrus_berda,35,N,entire gut,Acanthopagrus,Sparidae,Perciformes,carnivore,invertebrates and fish,same,-19.2,146.7,Australia,March to September 1971,24.7,,total,73,11,165,40,95,4.290459441,42.34,3.745732266,,0.27,0.89,0.58,,,-0.544727175,"Beumer, J. P. (1978). Feeding ecology of four fishes from a mangrove creek in north Queensland, Australia. Journal of Fish Biology, 12(5), 475–490.","Only reported range for relative gut length, took midpoint.  Took length data from gape-body length graphs.",,
Chelonodon_patoca,35,Y,entire gut,Chelonodon,Tetraodontidae,Tetraodontiformes,omnivore,omnivore,same,-19.2,146.7,Australia,March to September 1971,24.7,,total,47.97930388,13.4959,99.549,17.66473334,103,3.870769749,43.90106305,3.781938535,,0.56,1.27,0.915,,,-0.088831214,"Beumer, J. P. (1978). Feeding ecology of four fishes from a mangrove creek in north Queensland, Australia. Journal of Fish Biology, 12(5), 475–490.","Only reported range for relative gut length, took midpoint.  Took length data from gape-body length graphs.",,
Medialuna_californiensis,39,Y,entire gut,Medialuna,Kyphosidae,Perciformes,herbivore,macroalgae,same,33.7,-119.2,Malibu to Newport Beach and Channel Islands,February 2005 to May 2007,15.8,,total,214.6955879,138.2817,314.7238,40.75854008,66,5.369221155,431.8181198,6.068004481,,0.790655236,2.947444663,2.011304117,0.408799401,66,0.698783326,"Boerger, C. M. (2011). Life History, diet and production of an herbivorous temperate marine fish, Medialuna californiensis (Family: Kyphosidae) (Thesis, California State University, Northridge). Retrieved from http://dspace.calstate.edu/handle/10211.2/824",Methods not entirely clear but emphasis appears to be on kelp forests,,
Siganus_spinus,25,Y,entire gut,Siganus,Siganidae,Perciformes,herbivore,turf algae,same,13.4,144.8,Guam,,28.5,,fork,129,102,155,,5,4.859812404,483.75,6.181568244,,3.5,4,3.75,,5,1.32175584,"Bryan, P. (1975). Food-Habits, Functional Digestive Morphology, and Assimilation Efficiency of Rabbitfish Siganus-Spinus (pisces, Siganidae) on Guam. Pacific Science, 29(3), 269–277.","Only reported range for length and relative gut length, took midpoint as average for both.",,
Parma_microlepis,14,Y,entire gut,Parma,Pomacentridae,Perciformes,omnivore,omnivore,same,-34,151.3,Australia,January to August 2002,20.7,adult,total,117.08155,81.0077,155.3123,31.87941967,8,4.762870701,153.3197532,5.032525631,,1.7,2.4,2,,8,0.269654931,"Buckle, E. C., & Booth, D. J. (2009). Ontogeny of space use and diet of two temperate damselfish species, Parma microlepis and Parma unifasciata. Marine Biology, 156(7), 1497–1505.",Split data at 80 mm.,,
Parma_microlepis,14,Y,entire gut,Parma,Pomacentridae,Perciformes,omnivore,omnivore,same,-34,151.3,Australia,January to August 2002,20.7,juvenile,total,46.83155,17.3874,79.506,21.33018642,8,3.846557121,69.92243112,4.247386501,,1.2,1.8,1.7,,8,0.40082938,"Buckle, E. C., & Booth, D. J. (2009). Ontogeny of space use and diet of two temperate damselfish species, Parma microlepis and Parma unifasciata. Marine Biology, 156(7), 1497–1505.",Split data at 80 mm.,,
Parma_unifasciata,14,Y,entire gut,Parma,Pomacentridae,Perciformes,herbivore,macroalgae,same,-34,151.3,Australia,January to August 2002,20.7,adult,total,115.36025,89.1939,154.3479,25.94303753,6,4.748059841,144.886706,4.975952099,,1.6,2.1,1.9,,6,0.227892258,"Buckle, E. C., & Booth, D. J. (2009). Ontogeny of space use and diet of two temperate damselfish species, Parma microlepis and Parma unifasciata. Marine Biology, 156(7), 1497–1505.",Split data at 80 mm.,,
Parma_unifasciata,14,Y,entire gut,Parma,Pomacentridae,Perciformes,omnivore,omnivore,same,-34,151.3,Australia,January to August 2002,20.7,juvenile,total,50.41078571,16.6851,79.5985,22.50200333,7,3.920205154,68.67101258,4.229327168,,1.5,1.8,1.6,,7,0.309122014,"Buckle, E. C., & Booth, D. J. (2009). Ontogeny of space use and diet of two temperate damselfish species, Parma microlepis and Parma unifasciata. Marine Biology, 156(7), 1497–1505.",Split data at 80 mm.,,
Alepocephalus_rostratus,1,N,intestine,Alepocephalus,Alepocephalidae,Alepocephaliformes,carnivore,invertebrates and fish,"Carrassón, M., & Matallanas, J. (1998). Feeding Habits of Alepocephalus Rostratus (Pisces: Alepocephalidae) in the Western Mediterranean Sea. Journal of the Marine Biological Association of the United Kingdom, 78(4), 1295–1306. https://doi.org/10.1017/S0025315400044507",38.75,-42,Catalan Sea,1987 - 1988,13,,standard,251.6,97,364,58,30,5.527840525,226.6916,5.423590503,,,,0.901,,29,-0.104250021,"Carrassón, M., & Matallanas, J. (1994). Morphometric characteristics of the alimentary tract of deep-sea Mediterranean teleosts in relation to their feeding habits. Marine Biology, 118(2), 319–322. ","Temperatures below 200 m from same cruise described in Stefanescu, C., Lloris, D., & Rucabado, J. (1992). Deep-living demersal fishes in the Catalan Sea (western Mediterranean) below a depth of 1000 m. Journal of Natural History, 26, 197–213.",,
Alepocephalus_rostratus,1,Y,entire gut,Alepocephalus,Alepocephalidae,Alepocephaliformes,carnivore,invertebrates and fish,"Carrassón, M., & Matallanas, J. (1998). Feeding Habits of Alepocephalus Rostratus (Pisces: Alepocephalidae) in the Western Mediterranean Sea. Journal of the Marine Biological Association of the United Kingdom, 78(4), 1295–1306. https://doi.org/10.1017/S0025315400044507",38.75,-42,Catalan Sea,1987 - 1988,13,,standard,251.6,97,364,58,30,5.527840525,257.89,5.552533137,,,,1.025,,29,0.024692613,"Carrassón, M., & Matallanas, J. (1994). Morphometric characteristics of the alimentary tract of deep-sea Mediterranean teleosts in relation to their feeding habits. Marine Biology, 118(2), 319–322. ","Temperatures below 200 m from same cruise described in Stefanescu, C., Lloris, D., & Rucabado, J. (1992). Deep-living demersal fishes in the Catalan Sea (western Mediterranean) below a depth of 1000 m. Journal of Natural History, 26, 197–213.",,
Cataetyx_alleni,1,Y,entire gut,Cataetyx,Bythitidae,Ophidiiformes,carnivore,fish,"Carrasson, M., & Matallanas, J. (1990). Preliminary data about the feeding habits of some deep-sea Mediterranean fishes. Journal of Fish Biology, 36(3), 461–463. https://doi.org/10.1111/j.1095-8649.1990.tb05625.x",38.75,-42,Catalan Sea,1987 - 1988,13,,standard,70.6,45,104,16.5,30,4.257030144,42.0776,3.739515533,,,,0.596,,25,-0.517514612,"Carrassón, M., & Matallanas, J. (1994). Morphometric characteristics of the alimentary tract of deep-sea Mediterranean teleosts in relation to their feeding habits. Marine Biology, 118(2), 319–322. ","Temperatures below 200 m from same cruise described in Stefanescu, C., Lloris, D., & Rucabado, J. (1992). Deep-living demersal fishes in the Catalan Sea (western Mediterranean) below a depth of 1000 m. Journal of Natural History, 26, 197–213.",,
Cataetyx_alleni,1,N,intestine,Cataetyx,Bythitidae,Ophidiiformes,carnivore,invertebrates and fish,"Carrasson, M., & Matallanas, J. (1990). Preliminary data about the feeding habits of some deep-sea Mediterranean fishes. Journal of Fish Biology, 36(3), 461–463. https://doi.org/10.1111/j.1095-8649.1990.tb05625.x",38.75,-42,Catalan Sea,1987 - 1988,13,,standard,70.6,45,104,16.5,30,4.257030144,33.6762,3.516791356,,,,0.477,,30,-0.740238788,"Carrassón, M., & Matallanas, J. (1994). Morphometric characteristics of the alimentary tract of deep-sea Mediterranean teleosts in relation to their feeding habits. Marine Biology, 118(2), 319–322. ","Temperatures below 200 m from same cruise described in Stefanescu, C., Lloris, D., & Rucabado, J. (1992). Deep-living demersal fishes in the Catalan Sea (western Mediterranean) below a depth of 1000 m. Journal of Natural History, 26, 197–213.",,
Cataetyx_laticeps,1,N,intestine,Cataetyx,Bythitidae,Ophidiiformes,carnivore,invertebrates and fish,"Saldanha, L., & Biscoito, M. (1997). Fishes from the Lucky Strike and Menez Gwen hydrothermal vent sites (Mid-Atlantic Ridge). http://localhost:8080/xmlui/handle/100/943",38.75,-42,Catalan Sea,1987 - 1988,13,,standard,218,60,397,122.1,5,5.384495063,126.876,4.843210232,,,,0.582,,5,-0.541284831,"Carrassón, M., & Matallanas, J. (1994). Morphometric characteristics of the alimentary tract of deep-sea Mediterranean teleosts in relation to their feeding habits. Marine Biology, 118(2), 319–322. ","Temperatures below 200 m from same cruise described in Stefanescu, C., Lloris, D., & Rucabado, J. (1992). Deep-living demersal fishes in the Catalan Sea (western Mediterranean) below a depth of 1000 m. Journal of Natural History, 26, 197–213.",,
Cataetyx_laticeps,1,Y,entire gut,Cataetyx,Bythitidae,Ophidiiformes,carnivore,invertebrates and fish,"Saldanha, L., & Biscoito, M. (1997). Fishes from the Lucky Strike and Menez Gwen hydrothermal vent sites (Mid-Atlantic Ridge). http://localhost:8080/xmlui/handle/100/943",38.75,-42,Catalan Sea,1987 - 1988,13,,standard,218,60,397,122.1,5,5.384495063,159.576,5.072520298,,,,0.732,,5,-0.311974765,"Carrassón, M., & Matallanas, J. (1994). Morphometric characteristics of the alimentary tract of deep-sea Mediterranean teleosts in relation to their feeding habits. Marine Biology, 118(2), 319–322. ","Temperatures below 200 m from same cruise described in Stefanescu, C., Lloris, D., & Rucabado, J. (1992). Deep-living demersal fishes in the Catalan Sea (western Mediterranean) below a depth of 1000 m. Journal of Natural History, 26, 197–213.",,
Bathypterois_mediterraneus,1,N,intestine,Bathypterois,Ipnopidae,Aulopiformes,carnivore,fish,"Carrasson, M., & Matallanas, J. (1990). Preliminary data about the feeding habits of some deep-sea Mediterranean fishes. Journal of Fish Biology, 36(3), 461–463. https://doi.org/10.1111/j.1095-8649.1990.tb05625.x",38.75,-42,Catalan Sea,1987 - 1988,13,,standard,125,72,156,24.2,30,4.828313737,36.125,3.586985146,,,,0.289,,30,-1.241328591,"Carrassón, M., & Matallanas, J. (1994). Morphometric characteristics of the alimentary tract of deep-sea Mediterranean teleosts in relation to their feeding habits. Marine Biology, 118(2), 319–322. ","Temperatures below 200 m from same cruise described in Stefanescu, C., Lloris, D., & Rucabado, J. (1992). Deep-living demersal fishes in the Catalan Sea (western Mediterranean) below a depth of 1000 m. Journal of Natural History, 26, 197–213.",,
Bathypterois_mediterraneus,1,Y,entire gut,Bathypterois,Ipnopidae,Aulopiformes,carnivore,invertebrates and fish,"Carrasson, M., & Matallanas, J. (1990). Preliminary data about the feeding habits of some deep-sea Mediterranean fishes. Journal of Fish Biology, 36(3), 461–463. https://doi.org/10.1111/j.1095-8649.1990.tb05625.x",38.75,-42,Catalan Sea,1987 - 1988,13,,standard,125,72,156,24.2,30,4.828313737,46,3.828641396,,,,0.368,,28,-0.999672341,"Carrassón, M., & Matallanas, J. (1994). Morphometric characteristics of the alimentary tract of deep-sea Mediterranean teleosts in relation to their feeding habits. Marine Biology, 118(2), 319–322. ","Temperatures below 200 m from same cruise described in Stefanescu, C., Lloris, D., & Rucabado, J. (1992). Deep-living demersal fishes in the Catalan Sea (western Mediterranean) below a depth of 1000 m. Journal of Natural History, 26, 197–213.",,
Coelorinchus _occa,1,N,intestine,Coelorinchus,Macrouridae,Gadiformes,carnivore,invertebrates and fish,"Carrassón, M., & Matallanas, J. (2002). Diets of deep-sea macrourid fishes in the western Mediterranean. Marine Ecology Progress Series, 234, 215–228. https://doi.org/10.3354/meps234215",38.75,-42,Catalan Sea,1987 - 1988,13,,total,168.2,85,212,32.3,28,5.125153748,86.7912,4.463505234,,,,0.516,,23,-0.661648514,"Carrassón, M., & Matallanas, J. (1994). Morphometric characteristics of the alimentary tract of deep-sea Mediterranean teleosts in relation to their feeding habits. Marine Biology, 118(2), 319–322. ","Temperatures below 200 m from same cruise described in Stefanescu, C., Lloris, D., & Rucabado, J. (1992). Deep-living demersal fishes in the Catalan Sea (western Mediterranean) below a depth of 1000 m. Journal of Natural History, 26, 197–213.",,
Coelorinchus_occa,1,Y,entire gut,Coelorinchus,Macrouridae,Gadiformes,carnivore,fish,"Carrassón, M., & Matallanas, J. (2002). Diets of deep-sea macrourid fishes in the western Mediterranean. Marine Ecology Progress Series, 234, 215–228. https://doi.org/10.3354/meps234215",38.75,-42,Catalan Sea,1987 - 1988,13,,total,168.2,85,212,32.3,28,5.125153748,99.9108,4.604277788,,,,0.594,,12,-0.52087596,"Carrassón, M., & Matallanas, J. (1994). Morphometric characteristics of the alimentary tract of deep-sea Mediterranean teleosts in relation to their feeding habits. Marine Biology, 118(2), 319–322. ","Temperatures below 200 m from same cruise described in Stefanescu, C., Lloris, D., & Rucabado, J. (1992). Deep-living demersal fishes in the Catalan Sea (western Mediterranean) below a depth of 1000 m. Journal of Natural History, 26, 197–213.",,
Coryphaenoides_guentheri,1,N,intestine,Coryphaenoides,Macrouridae,Gadiformes,carnivore,invertebrates and fish,"Carrassón, M., & Matallanas, J. (2002). Diets of deep-sea macrourid fishes in the western Mediterranean. Marine Ecology Progress Series, 234, 215–228. https://doi.org/10.3354/meps234215",38.75,-42,Catalan Sea,1987 - 1988,13,,total,153.7,100,216,30.9,30,5.035002651,73.9297,4.303114642,,,,0.481,,23,-0.731888009,"Carrassón, M., & Matallanas, J. (1994). Morphometric characteristics of the alimentary tract of deep-sea Mediterranean teleosts in relation to their feeding habits. Marine Biology, 118(2), 319–322. ","Temperatures below 200 m from same cruise described in Stefanescu, C., Lloris, D., & Rucabado, J. (1992). Deep-living demersal fishes in the Catalan Sea (western Mediterranean) below a depth of 1000 m. Journal of Natural History, 26, 197–213.",,
Coryphaenoides_guentheri,1,Y,entire gut,Coryphaenoides,Macrouridae,Gadiformes,carnivore,invertebrates and fish,"Carrassón, M., & Matallanas, J. (2002). Diets of deep-sea macrourid fishes in the western Mediterranean. Marine Ecology Progress Series, 234, 215–228. https://doi.org/10.3354/meps234215",38.75,-42,Catalan Sea,1987 - 1988,13,,total,153.7,100,216,30.9,30,5.035002651,169.2237,5.131221508,,,,1.101,,23,0.096218858,"Carrassón, M., & Matallanas, J. (1994). Morphometric characteristics of the alimentary tract of deep-sea Mediterranean teleosts in relation to their feeding habits. Marine Biology, 118(2), 319–322. ","Temperatures below 200 m from same cruise described in Stefanescu, C., Lloris, D., & Rucabado, J. (1992). Deep-living demersal fishes in the Catalan Sea (western Mediterranean) below a depth of 1000 m. Journal of Natural History, 26, 197–213.",,
