species,study.id,dataset.id,wild.lab,order,family,genus,trophic.group,latitude,longitude,study.location,diet,diet.details,temperature.c,temperature.variation,method,absorption.efficiency.n,component,absorption.efficiency,age.class,bodylength.metric,ln.bodylength,bodylength.avg.mm,bodylength.min.mm,bodylength.max.mm,bodylength.sd.mm,bodylength.se.mm,bodylength.n,mass.avg.g,mass.sd.g,mass.min.g,mass.max.g,mass.n,reference,notes,more notes,
Odax_pullus,10,10B,lab,Perciformes,Odacidae,Odax,herbivore,-41.3,174.87,"Wellington Harbour, New Zealand",macroalgae,Carpophyllum maschalocarpum,13.5,9 - 18 C,marker,3,total,0.345,adult,,5.634789603,280,280,,,,,,,,,,"Baker, E. J. C., Clauss, M., & Clements, K. D. (2016). Selection and intake of algal species in butterfish (Odax pullus; labridae). Marine Biology, 163(6). ",What appears to be the same dataset is also reported in Baker's 2011 thesis.  Only reported minimum body size.,,
Odax_pullus,10,10C,lab,Perciformes,Odacidae,Odax,herbivore,-41.3,174.87,"Wellington Harbour, New Zealand",macroalgae,Undaria pinnatifida,13.5,9 - 18 C,marker,3,nitrogen,0.358,adult,,5.634789603,280,280,,,,,,,,,,"Baker, E. J. C., Clauss, M., & Clements, K. D. (2016). Selection and intake of algal species in butterfish (Odax pullus; labridae). Marine Biology, 163(6). ",What appears to be the same dataset is also reported in Baker's 2011 thesis.  Only reported minimum body size.,,
Odax_pullus,10,10D,lab,Perciformes,Odacidae,Odax,herbivore,-41.3,174.87,"Wellington Harbour, New Zealand",macroalgae,Macrocystis pyrifera,13.5,9 - 18 C,marker,3,nitrogen,0.366,adult,,5.634789603,280,280,,,,,,,,,,"Baker, E. J. C., Clauss, M., & Clements, K. D. (2016). Selection and intake of algal species in butterfish (Odax pullus; labridae). Marine Biology, 163(6). ",What appears to be the same dataset is also reported in Baker's 2011 thesis.  Only reported minimum body size.,,
Odax_pullus,10,10C,lab,Perciformes,Odacidae,Odax,herbivore,-41.3,174.87,"Wellington Harbour, New Zealand",macroalgae,Undaria pinnatifida,13.5,9 - 18 C,marker,3,organic,0.56,adult,,5.634789603,280,280,,,,,,,,,,"Baker, E. J. C., Clauss, M., & Clements, K. D. (2016). Selection and intake of algal species in butterfish (Odax pullus; labridae). Marine Biology, 163(6). ",What appears to be the same dataset is also reported in Baker's 2011 thesis.  Only reported minimum body size.,,
Odax_pullus,10,10C,lab,Perciformes,Odacidae,Odax,herbivore,-41.3,174.87,"Wellington Harbour, New Zealand",macroalgae,Undaria pinnatifida,13.5,9 - 18 C,marker,3,total,0.563,adult,,5.634789603,280,280,,,,,,,,,,"Baker, E. J. C., Clauss, M., & Clements, K. D. (2016). Selection and intake of algal species in butterfish (Odax pullus; labridae). Marine Biology, 163(6). ",What appears to be the same dataset is also reported in Baker's 2011 thesis.  Only reported minimum body size.,,
Odax_pullus,10,10D,lab,Perciformes,Odacidae,Odax,herbivore,-41.3,174.87,"Wellington Harbour, New Zealand",macroalgae,Macrocystis pyrifera,13.5,9 - 18 C,marker,3,organic,0.605,adult,,5.634789603,280,280,,,,,,,,,,"Baker, E. J. C., Clauss, M., & Clements, K. D. (2016). Selection and intake of algal species in butterfish (Odax pullus; labridae). Marine Biology, 163(6). ",What appears to be the same dataset is also reported in Baker's 2011 thesis.  Only reported minimum body size.,,
Odax_pullus,10,10D,lab,Perciformes,Odacidae,Odax,herbivore,-41.3,174.87,"Wellington Harbour, New Zealand",macroalgae,Macrocystis pyrifera,13.5,9 - 18 C,marker,3,total,0.625,adult,,5.634789603,280,280,,,,,,,,,,"Baker, E. J. C., Clauss, M., & Clements, K. D. (2016). Selection and intake of algal species in butterfish (Odax pullus; labridae). Marine Biology, 163(6). ",What appears to be the same dataset is also reported in Baker's 2011 thesis.  Only reported minimum body size.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,organic,0.376594,,,5.203611004,181.928,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,organic,0.449074,,,5.602428736,271.084,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,organic,0.570127,,,5.645916752,283.133,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,organic,0.609209,,,5.766059065,319.277,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,organic,0.768283,,,5.835304767,342.169,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,organic,0.75425,,,5.866502051,353.012,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,organic,0.695749,,,5.967071952,390.361,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,organic,0.650086,,,6.000458976,403.614,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,organic,0.711387,,,5.835304767,342.169,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,organic,0.769425,,,5.866502051,353.012,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,organic,0.794582,,,5.967071952,390.361,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,organic,0.730996,,,6.000458976,403.614,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,nitrogen,0.399222,,,4.979885323,145.4577,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,nitrogen,0.429628,,,5.407266834,223.0212,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,nitrogen,0.790911,,,5.4612144,235.3831,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,nitrogen,0.647992,,,5.603165505,271.2838,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,nitrogen,0.621937,,,5.637180671,280.6703,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,nitrogen,0.544236,,,5.668966367,289.7349,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,nitrogen,0.789849,,,5.631888972,279.189,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,nitrogen,0.705431,,,5.70052551,299.0245,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,nitrogen,0.694988,,,5.800135747,330.3444,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,nitrogen,0.775164,,,5.864764624,352.3992,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Lessonia trabeculata,14.9,13 - 17.3,total collection,1,nitrogen,0.753216,,,5.785397484,325.5114,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Ulva sp.,14.9,13 - 17.3,total collection,1,organic,0.568515,,,4.925444078,137.7505,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Ulva sp.,14.9,13 - 17.3,total collection,1,organic,0.580917,,,5.31893045,204.1654,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Ulva sp.,14.9,13 - 17.3,total collection,1,organic,0.600358,,,5.426324403,227.3122,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Ulva sp.,14.9,13 - 17.3,total collection,1,organic,0.639889,,,5.366785967,214.1734,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Ulva sp.,14.9,13 - 17.3,total collection,1,organic,0.751673,,,5.283452429,197.049,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Ulva sp.,14.9,13 - 17.3,total collection,1,organic,0.793958,,,5.447584857,232.1967,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Ulva sp.,14.9,13 - 17.3,total collection,1,organic,0.885968,,,5.404997661,222.5157,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
Aplodactylus_punctatus,6,6B,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces Chile,macroalgae,Ulva sp.,14.9,13 - 17.3,total collection,1,organic,0.865877,,,5.556060586,258.8013,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",Pumped seawater into experimental tanks.  Took NOAA temp for 1988 and 1989 as none reported.,,
